signal_id	pair	timestamp_utc	direction	entry_price	sl_price	tp_price	sl_pips	tp_pips	atr	m15_close_24h_ago	m15_close_12h_ago	m15_close_1h_ago	related_eur_usd_24h_change_pct	related_usd_jpy_24h_change_pct	related_gbp_usd_24h_change_pct	day_of_week	hour_utc	is_tokyo_session	is_london_session	is_ny_session
GBP_JPY_01788_20251022_110000	GBP_JPY	2025-10-22T11:00:00+00:00	short	202.067	202.34804	201.50493	28.1	56.21	0.187357	202.276	203.03	202.254	-0.2031	0.0508	-0.4425	2	11	0	1	0
GBP_JPY_01789_20251022_161500	GBP_JPY	2025-10-22T16:15:00+00:00	long	202.647	202.37646	203.18807	27.05	54.11	0.180357	203.243	202.833	202.353	-0.1533	0.2454	-0.2579	2	16	0	0	1
GBP_JPY_01790_20251023_040000	GBP_JPY	2025-10-23T04:00:00+00:00	long	203.18	203.03268	203.47464	14.73	29.46	0.098214	202.771	202.477	203.02	-0.062	0.4422	-0.2386	3	4	1	0	0
GBP_JPY_01791_20251023_090000	GBP_JPY	2025-10-23T09:00:00+00:00	long	203.442	203.31204	203.70193	13.0	25.99	0.086643	202.705	202.656	203.256	-0.1292	0.5964	0.1087	3	9	0	1	0
GBP_JPY_01792_20251023_093000	GBP_JPY	2025-10-23T09:30:00+00:00	long	203.589	203.44918	203.86864	13.98	27.96	0.093214	202.301	202.846	203.204	-0.1292	0.5964	0.1087	3	9	0	1	0
GBP_JPY_01793_20251023_174500	GBP_JPY	2025-10-23T17:45:00+00:00	short	203.309	203.50207	202.92286	19.31	38.61	0.128714	202.834	203.321	203.475	0.0181	0.4806	-0.2449	3	17	0	0	1
GBP_JPY_01794_20251024_000000	GBP_JPY	2025-10-24T00:00:00+00:00	short	203.184	203.29779	202.95643	11.38	22.76	0.075857	202.823	203.736	203.294	0.0482	0.4253	-0.2157	4	0	1	0	0
GBP_JPY_01795_20251024_020000	GBP_JPY	2025-10-24T02:00:00+00:00	long	203.375	203.26046	203.60407	11.45	22.91	0.076357	202.908	203.721	203.309	0.0844	0.4106	-0.1798	4	2	1	0	0
GBP_JPY_01796_20251024_040000	GBP_JPY	2025-10-24T04:00:00+00:00	long	203.548	203.41664	203.81071	13.14	26.27	0.087571	203.181	203.599	203.323	0.1	0.3156	-0.1319	4	4	1	0	0
GBP_JPY_01797_20251024_091500	GBP_JPY	2025-10-24T09:15:00+00:00	long	203.873	203.72107	204.17686	15.19	30.39	0.101286	203.521	203.244	203.703	0.1673	0.1802	-0.1273	4	9	0	1	0
GBP_JPY_01798_20251024_110000	GBP_JPY	2025-10-24T11:00:00+00:00	short	203.465	203.68132	203.03236	21.63	43.26	0.144214	203.643	203.294	203.67	0.1216	0.2215	-0.2172	4	11	0	1	0
GBP_JPY_01799_20251024_151500	GBP_JPY	2025-10-24T15:15:00+00:00	short	203.375	203.5475	203.03	17.25	34.5	0.115	203.504	203.325	203.584	0.2888	0.0898	0.0202	4	15	0	1	1
GBP_JPY_01800_20251024_160000	GBP_JPY	2025-10-24T16:00:00+00:00	long	203.919	203.70568	204.34564	21.33	42.66	0.142214	203.599	203.546	203.475	0.1706	0.0917	0.0863	4	16	0	0	1
GBP_JPY_01801_20251024_174500	GBP_JPY	2025-10-24T17:45:00+00:00	short	203.184	203.48143	202.58914	29.74	59.49	0.198286	203.31	203.622	203.836	0.1111	0.1003	-0.1629	4	17	0	0	1
GBP_JPY_01802_20251027_000000	GBP_JPY	2025-10-27T00:00:00+00:00	long	203.547	203.43889	203.76321	10.81	21.62	0.072071	203.182	203.624	203.439	0.0981	0.3219	-0.0405	0	0	1	0	0
GBP_JPY_01803_20251027_004500	GBP_JPY	2025-10-27T00:45:00+00:00	long	203.813	203.67339	204.09221	13.96	27.92	0.093071	203.234	203.763	203.458	0.0981	0.3219	-0.0405	0	0	1	0	0
GBP_JPY_01804_20251027_080000	GBP_JPY	2025-10-27T08:00:00+00:00	long	204.012	203.88782	204.26036	12.42	24.84	0.082786	203.691	203.244	203.847	0.1784	0.1124	0.027	0	8	1	1	0
GBP_JPY_01805_20251027_100000	GBP_JPY	2025-10-27T10:00:00+00:00	short	203.633	203.79168	203.31564	15.87	31.74	0.105786	203.67	203.295	203.966	0.0155	0.1191	-0.0015	0	10	0	1	0
GBP_JPY_01806_20251027_153000	GBP_JPY	2025-10-27T15:30:00+00:00	long	203.94	203.75014	204.31971	18.99	37.97	0.126571	203.477	203.757	203.827	0.0619	0.1081	0.0165	0	15	0	1	1
GBP_JPY_01807_20251027_214500	GBP_JPY	2025-10-27T21:45:00+00:00	short	203.814	203.97729	203.48743	16.33	32.66	0.108857	203.363	203.819	204.08	0.209	-0.0288	0.2518	0	21	0	0	1
GBP_JPY_01808_20251028_040000	GBP_JPY	2025-10-28T04:00:00+00:00	short	203.416	203.57404	203.09993	15.8	31.61	0.105357	203.606	203.99	203.582	0.1581	-0.284	0.1831	1	4	1	0	0
GBP_JPY_01809_20251028_064500	GBP_JPY	2025-10-28T06:45:00+00:00	short	203.377	203.56246	203.00607	18.55	37.09	0.123643	203.872	204.04	203.505	0.2786	-0.5012	0.259	1	6	1	0	0
GBP_JPY_01810_20251028_073000	GBP_JPY	2025-10-28T07:30:00+00:00	short	203.159	203.35036	202.77629	19.14	38.27	0.127571	203.862	204.032	203.517	0.3587	-0.8228	0.38	1	7	1	1	0
GBP_JPY_01811_20251028_110000	GBP_JPY	2025-10-28T11:00:00+00:00	short	202.701	202.97196	202.15907	27.1	54.19	0.180643	203.63	203.863	203.14	0.2055	-0.5667	-0.1433	1	11	0	1	0
GBP_JPY_01812_20251028_111500	GBP_JPY	2025-10-28T11:15:00+00:00	short	202.473	202.74857	201.92186	27.56	55.11	0.183714	203.685	203.868	203.114	0.2055	-0.5667	-0.1433	1	11	0	1	0
GBP_JPY_01813_20251028_161500	GBP_JPY	2025-10-28T16:15:00+00:00	short	202.017	202.22668	201.59764	20.97	41.94	0.139786	204.061	203.506	202.268	0.0318	-0.5976	-0.5857	1	16	0	0	1
GBP_JPY_01814_20251029_000000	GBP_JPY	2025-10-29T00:00:00+00:00	short	201.742	201.86114	201.50371	11.91	23.83	0.079429	203.801	202.216	201.922	0.0498	-0.5171	-0.4822	2	0	1	0	0
GBP_JPY_01815_20251029_024500	GBP_JPY	2025-10-29T02:45:00+00:00	short	201.478	201.65564	201.12271	17.76	35.53	0.118429	203.703	202.32	201.951	0.0549	-0.6294	-0.4648	2	2	1	0	0
GBP_JPY_01816_20251029_081500	GBP_JPY	2025-10-29T08:15:00+00:00	long	201.788	201.60371	202.15657	18.43	36.86	0.122857	202.905	201.988	201.517	-0.2769	0.2989	-0.9557	2	8	1	1	0
GBP_JPY_01817_20251029_094500	GBP_JPY	2025-10-29T09:45:00+00:00	short	201.24	201.47957	200.76086	23.96	47.91	0.159714	202.979	201.976	201.644	-0.2239	0.0835	-0.9392	2	9	0	1	0
GBP_JPY_01818_20251029_161500	GBP_JPY	2025-10-29T16:15:00+00:00	short	200.77	201.00786	200.29429	23.79	47.57	0.158571	202.01	201.315	201.053	-0.0241	-0.1288	-0.3779	2	16	0	0	1
GBP_JPY_01819_20251029_224500	GBP_JPY	2025-10-29T22:45:00+00:00	long	201.628	201.32146	202.24107	30.65	61.31	0.204357	201.822	201.145	201.127	-0.454	0.4985	-0.593	2	22	0	0	0
GBP_JPY_01820_20251030_054500	GBP_JPY	2025-10-30T05:45:00+00:00	short	201.145	201.40664	200.62171	26.16	52.33	0.174429	201.577	201.098	201.446	-0.2499	0.2336	-0.4471	3	5	1	0	0
GBP_JPY_01821_20251030_060000	GBP_JPY	2025-10-30T06:00:00+00:00	short	201.027	201.29304	200.49493	26.6	53.21	0.177357	201.503	201.112	201.308	-0.1865	0.5978	-0.3735	3	6	1	0	0
GBP_JPY_01822_20251030_061500	GBP_JPY	2025-10-30T06:15:00+00:00	long	201.868	201.52525	202.5535	34.27	68.55	0.2285	201.468	201.147	201.349	-0.1865	0.5978	-0.3735	3	6	1	0	0
GBP_JPY_01823_20251030_093000	GBP_JPY	2025-10-30T09:30:00+00:00	long	202.61	202.14864	203.53271	46.14	92.27	0.307571	201.479	201.073	202.047	-0.0877	0.7815	-0.186	3	9	0	1	0
GBP_JPY_01824_20251031_150000	GBP_JPY	2025-10-31T15:00:00+00:00	short	202.13	202.35425	201.6815	22.42	44.85	0.1495	203.091	202.524	202.425	0.0087	-0.1024	-0.2375	4	15	0	1	1
GBP_JPY_01825_20251031_223000	GBP_JPY	2025-10-31T22:30:00+00:00	long	202.538	202.39314	202.82771	14.49	28.97	0.096571	202.481	202.775	202.411	-0.3329	0.0221	-0.0609	4	22	0	0	0
GBP_JPY_01826_20251103_000000	GBP_JPY	2025-11-03T00:00:00+00:00	short	202.242	202.40293	201.92014	16.09	32.19	0.107286	202.58	202.703	202.516	-0.3345	-0.0026	-0.1049	0	0	1	0	0
GBP_JPY_01827_20251103_013000	GBP_JPY	2025-11-03T01:30:00+00:00	long	202.583	202.40354	202.94193	17.95	35.89	0.119643	202.686	202.448	202.257	-0.3518	0.0642	-0.1483	0	1	1	0	0
GBP_JPY_01828_20251103_080000	GBP_JPY	2025-11-03T08:00:00+00:00	long	202.62	202.52293	202.81414	9.71	19.41	0.064714	202.489	202.352	202.504	-0.2619	0.1793	-0.0259	0	8	1	1	0
GBP_JPY_01829_20251103_103000	GBP_JPY	2025-11-03T10:30:00+00:00	short	202.198	202.35946	201.87507	16.15	32.29	0.107643	202.775	202.539	202.597	-0.4445	-0.1283	-0.1651	0	10	0	1	0
